dataset,feature_set,model,n_samples,n_train,n_test,input_dim,output_dim,mean_r2,mean_mae,mean_rmse,mean_nmae,mean_nrmse,std_r2,std_nrmse,r2_rank,nrmse_rank,nmae_rank,rank_score,model_rank
fp,full,Ridge,400,320,80,13,4,0.9775273909250275,0.9555410741020076,1.1376597660111505,0.014977775452968915,0.01778091057208431,0.03453986490814574,0.017485954364903696,1.0,1.0,1.0,1.0,1
fp,full,KNN,400,320,80,13,4,0.6473099458661944,4.807418131716141,6.489805271486389,0.07465790681668191,0.09775927191767854,0.022083752572255033,0.006821902344446675,3.0,3.0,3.0,3.0,3
fp,full,RandomForest,400,320,80,13,4,0.6271298831630956,4.123708219216563,5.783148495864441,0.07560475138595887,0.10003403340211559,0.1305432088243634,0.023345197656265047,4.0,4.0,4.0,4.0,4
fp,full,GradientBoosting,400,320,80,13,4,0.9306039537371772,2.1406331933315723,3.2488100600701646,0.027976775184464266,0.041065750475263854,0.030926351848780207,0.010372905251655596,2.0,2.0,2.0,2.0,2
fp,selected,Ridge,400,320,80,3,4,0.7361562179665031,2.0787641845169986,2.613263378084829,0.06083576019194683,0.07489135969668387,0.27858617376021116,0.049334719940320536,1.0,1.0,1.0,1.0,1
fp,selected,KNN,400,320,80,3,4,0.6488420990106422,2.8138847633494937,3.6045358133171375,0.07051117208910576,0.08941080367337431,0.33024300465909817,0.05087079995210004,3.0,2.0,2.0,2.4000000000000004,2
fp,selected,RandomForest,400,320,80,3,4,0.630866621915087,3.457547924548938,4.775779549508325,0.07431761742332922,0.09662559580430667,0.2497211879764398,0.03850187622980586,4.0,4.0,4.0,4.0,4
fp,selected,GradientBoosting,400,320,80,3,4,0.6524537201085423,3.068296619874184,3.9968767752028183,0.07304994138264274,0.09138977751289784,0.2919766795980015,0.04478945539691108,2.0,3.0,3.0,2.5999999999999996,3
rea,full,Ridge,2000,1600,400,4,4,0.8365105582909993,13.94239738491374,19.899014498949498,0.021391948256228727,0.03797501137605738,0.18757365830566655,0.017479980072529013,4.0,4.0,4.0,4.0,4
rea,full,KNN,2000,1600,400,4,4,0.9217949760982235,5.812987515884943,10.320952037833042,0.012952307833390733,0.02722766860723901,0.08931147809751448,0.007251846418323948,3.0,3.0,3.0,3.0,3
rea,full,RandomForest,2000,1600,400,4,4,0.9514147594534391,3.427660078687192,6.239708431629846,0.00881890558174877,0.020393805662132086,0.06035473834855309,0.006929640104176248,2.0,2.0,2.0,2.0,2
rea,full,GradientBoosting,2000,1600,400,4,4,0.9927422132912427,2.8200190571790964,3.8794600378366346,0.006372609988961679,0.009807755185591046,0.004659064796294319,0.000676283216946664,1.0,1.0,1.0,1.0,1
rea,selected,Ridge,2000,1600,400,2,4,0.8323796619849716,14.279855978741343,20.188065265441043,0.023496239158188825,0.04016101192757503,0.18238378178087633,0.015253635924113655,4.0,4.0,4.0,4.0,4
rea,selected,KNN,2000,1600,400,2,4,0.9843615413927237,2.7031928908428715,4.0486464540236184,0.009329579667672259,0.015042025220589202,0.007365500312218125,0.0059915390604403694,2.0,2.0,1.0,1.75,2
rea,selected,RandomForest,2000,1600,400,2,4,0.9648431446398321,3.3278230637781117,5.577419786291194,0.010544684760003179,0.019822954421909136,0.031809673027090916,0.005080086164297461,3.0,3.0,3.0,3.0,3
rea,selected,GradientBoosting,2000,1600,400,2,4,0.9858025031050397,3.5018028293504893,4.7889070090832995,0.010030579858140251,0.014858331879569912,0.005666704220647097,0.005307856308548712,1.0,1.0,2.0,1.25,1
powery,full,Ridge,1000,800,200,6,22,0.995286615967924,12.288705065261668,16.578576015027927,0.009648296136577174,0.013052084245611184,0.0019643193447002054,0.002092350282253618,1.0,1.0,1.0,1.0,1
powery,full,KNN,1000,800,200,6,22,0.943787295171959,48.96497000188211,60.83109822307129,0.037374762675901355,0.04626791117774376,0.005678349382324192,0.004437782575437065,3.0,3.0,3.0,3.0,3
powery,full,RandomForest,1000,800,200,6,22,0.8834759243083198,69.91686007289653,87.612817086132,0.053340748785149675,0.06668308270249548,0.015456114816833202,0.008387067734235665,4.0,4.0,4.0,4.0,4
powery,full,GradientBoosting,1000,800,200,6,22,0.97732379810743,28.520332860478266,35.83340363663729,0.02263012157032267,0.02838594142368238,0.008849247933128548,0.00367279704870264,2.0,2.0,2.0,2.0,2
powery,selected,Ridge,1000,800,200,6,22,0.9952866159679239,12.288705065261668,16.57857601502793,0.009648296136577172,0.013052084245611188,0.0019643193447002015,0.00209235028225362,1.0,1.0,1.0,1.0,1
powery,selected,KNN,1000,800,200,6,22,0.9437872951719588,48.9649700018821,60.8310982230713,0.03737476267590134,0.046267911177743766,0.005678349382324129,0.004437782575436992,3.0,3.0,3.0,3.0,3
powery,selected,RandomForest,1000,800,200,6,22,0.8840163802280426,69.823863489183,87.32330550111996,0.05331802817184426,0.0665122050325606,0.01634170413895614,0.008513589716500182,4.0,4.0,4.0,4.0,4
powery,selected,GradientBoosting,1000,800,200,6,22,0.9773189644912619,28.522155805612638,35.83641527730688,0.022633016252922456,0.028388689391796892,0.008849595197725206,0.0036745526309972143,2.0,2.0,2.0,2.0,2
htgr,full,Ridge,3004,2403,601,8,4,0.006267679291861866,0.003397423225497297,0.004236545477132563,0.13312072247310347,0.16599992325757246,0.005287230623634017,0.0019119272080258297,4.0,4.0,4.0,4.0,4
htgr,full,KNN,3004,2403,601,8,4,0.7188400737194492,0.0017725918787381046,0.0022530011129736818,0.06945520056984728,0.08827900322835458,0.0069453113517517345,6.347478978243046e-05,2.0,2.0,2.0,2.0,2
htgr,full,RandomForest,3004,2403,601,8,4,0.7004344942527093,0.001842970630521969,0.0023260412680920148,0.07221284059947647,0.09114092462393719,0.009444014710594027,0.0022174648898328304,3.0,3.0,3.0,3.0,3
htgr,full,GradientBoosting,3004,2403,601,8,4,0.9029671894254709,0.0010190506205868051,0.001323921117469205,0.039929306961549726,0.051875001716661824,0.0010632429978080012,0.000894847577824047,1.0,1.0,1.0,1.0,1
htgr,selected,Ridge,3004,2403,601,8,4,0.0062676792918618385,0.003397423225497297,0.004236545477132563,0.13312072247310347,0.16599992325757246,0.00528723062363402,0.0019119272080258297,4.0,4.0,4.0,4.0,4
htgr,selected,KNN,3004,2403,601,8,4,0.7188400737194491,0.0017725918787381049,0.0022530011129736826,0.06945520056984729,0.08827900322835458,0.006945311351751831,6.347478978241556e-05,2.0,2.0,2.0,2.0,2
htgr,selected,RandomForest,3004,2403,601,8,4,0.7006446227788232,0.0018423860734678298,0.0023252960459430056,0.072189935988479,0.09111172469672926,0.007355048864511172,0.0019470697593421164,3.0,3.0,3.0,3.0,3
htgr,selected,GradientBoosting,3004,2403,601,8,4,0.9029604067030303,0.0010190985404855489,0.0013239672597957124,0.03993118459972377,0.0518768097044907,0.0010665776711967796,0.0008951197501719932,1.0,1.0,1.0,1.0,1
microreactor,full,Ridge,751,600,151,8,4,0.15332418015113297,3.663168094688296e+17,4.498534774056656e+17,0.13201787351837369,0.16212637315384387,0.09496514437180106,0.006299298237949163,4.0,4.0,4.0,4.0,4
microreactor,full,KNN,751,600,151,8,4,0.3967540712850506,3.0711139070530074e+17,3.8078317708589626e+17,0.11073320200152048,0.13729727464547387,0.03867549536026292,0.008407844356364874,3.0,3.0,3.0,3.0,3
microreactor,full,RandomForest,751,600,151,8,4,0.48097283335662566,2.8837482412424384e+17,3.5261517666100416e+17,0.1039570792236812,0.12711730924432552,0.06241102510053822,0.008751063178336875,2.0,2.0,2.0,2.0,2
microreactor,full,GradientBoosting,751,600,151,8,4,0.6581336217760099,2.3598804952570515e+17,2.864370465386258e+17,0.08508041876459055,0.10327729719184744,0.01743499057474872,0.004237494216156942,1.0,1.0,1.0,1.0,1
microreactor,selected,Ridge,751,600,151,8,4,0.15332418015113292,3.663168094688296e+17,4.4985347740566566e+17,0.13201787351837369,0.16212637315384387,0.09496514437180116,0.006299298237949182,4.0,4.0,4.0,4.0,4
microreactor,selected,KNN,751,600,151,8,4,0.39675407128505047,3.071113907053008e+17,3.807831770858963e+17,0.11073320200152051,0.13729727464547387,0.03867549536026296,0.008407844356364895,3.0,3.0,3.0,3.0,3
microreactor,selected,RandomForest,751,600,151,8,4,0.4807135864921099,2.8951958400625645e+17,3.5279161913633715e+17,0.10436782743442224,0.12717900929162534,0.05751048677314777,0.008260863905858751,2.0,2.0,2.0,2.0,2
microreactor,selected,GradientBoosting,751,600,151,8,4,0.6574105309695693,2.3617969590954547e+17,2.867393881546939e+17,0.08514962397815279,0.10338581078182615,0.017544061962445536,0.004237849478554461,1.0,1.0,1.0,1.0,1
