dataset,feature_set,model,target,r2,mae,rmse,nmae,nrmse
fp,full,KNN,max_fuel_surface_temp,0.6099841441223057,3.897107869983293,5.106224432377087,0.07962979366125991,0.10433573088137654
fp,full,KNN,radial_clad_dia,0.6674695630755101,3.338313244514853e-07,4.4592027092286557e-07,0.06812884172479296,0.09100413692303384
fp,full,RandomForest,fis_gas_produced,0.42838903725679434,8.898335876623391e-07,1.1371224256061042e-06,0.10593256995980227,0.13537171733406
fp,full,RandomForest,max_fuel_centerline_temp,0.7452012438331514,12.410266330949062,17.908195299440273,0.05408268265018259,0.07804209977361969
fp,full,RandomForest,max_fuel_surface_temp,0.5917230766999033,4.084565367259811,5.2243971550324755,0.0834601217728729,0.1067503598409486
fp,full,RandomForest,radial_clad_dia,0.7432061748625329,2.888237926887906e-07,3.9186258763318665e-07,0.0589436311609777,0.07997195665983406
fp,full,GradientBoosting,fis_gas_produced,0.9833318449604779,1.2166750055958632e-07,1.941783093521228e-07,0.014484226257093608,0.023116465399062237
fp,full,GradientBoosting,max_fuel_centerline_temp,0.908858148737246,6.874256582269183,10.710557892988126,0.02995731334690556,0.04667552557581471
fp,full,GradientBoosting,max_fuel_surface_temp,0.9219210518318274,1.6882759078418104,2.2846819189530487,0.03449662330883747,0.046683016189803986
fp,full,GradientBoosting,radial_clad_dia,0.9083047694191575,1.615477953426e-07,2.3416117420823474e-07,0.03296893782502043,0.04778799473637446
fp,selected,Ridge,fis_gas_produced,0.27509313107216604,1.0500667140948064e-06,1.2805544724339264e-06,0.1250079421541436,0.15244696100403884
fp,selected,Ridge,max_fuel_centerline_temp,0.9672921694411396,5.094352250477658,6.4162169437553755,0.022200670696626124,0.027961223033422963
fp,selected,Ridge,max_fuel_surface_temp,0.7562388527139217,3.2207032889279774,4.036835108334671,0.06580878613005275,0.08248484708292093
fp,selected,Ridge,radial_clad_dia,0.9460007186387853,1.4859564475612765e-07,1.7969479756512807e-07,0.030325641786964844,0.03667240766635269
fp,selected,KNN,fis_gas_produced,0.10705322902953729,1.1272742494150416e-06,1.4212475706989231e-06,0.13419931540655256,0.1691961393689194
fp,selected,KNN,max_fuel_centerline_temp,0.9263338158458659,7.530419829890226,9.629134596761753,0.032816806265224596,0.04196279247398992
fp,selected,KNN,max_fuel_surface_temp,0.6569373737794684,3.725117905559543,4.789006996970897,0.07611551439679362,0.09785401167578081
fp,selected,KNN,radial_clad_dia,0.905043977387697,1.9067395621047589e-07,2.382883287565546e-07,0.038913052287852246,0.04863027117480709
fp,selected,RandomForest,fis_gas_produced,0.22080939516523723,1.0744025440416068e-06,1.3276353375810531e-06,0.12790506476685795,0.1580518259025063
fp,selected,RandomForest,max_fuel_centerline_temp,0.840143556586772,10.02917072896166,14.18463755852421,0.04370610938673175,0.06181521259317399
fp,selected,RandomForest,max_fuel_surface_temp,0.6381370615043354,3.8010196596664514,4.918478987808209,0.07766641861081701,0.10049951912880697
fp,selected,RandomForest,radial_clad_dia,0.8243764744040035,2.3516509695165976e-07,3.2406554540442276e-07,0.04799287692891018,0.06613582559273938
fp,selected,GradientBoosting,fis_gas_produced,0.1665004870099812,1.1313506507907338e-06,1.3731235795570784e-06,0.13468460128461116,0.16346709280441407
fp,selected,GradientBoosting,max_fuel_centerline_temp,0.8969114011045082,8.53729364104785,11.390911788871962,0.03720466026814939,0.04964043888707376
fp,selected,GradientBoosting,max_fuel_surface_temp,0.6839508033985013,3.73589149162146,4.596593652022857,0.07633565160205552,0.09392242048891668
fp,selected,GradientBoosting,radial_clad_dia,0.8624521889211783,2.154767766411989e-07,2.8679287356881527e-07,0.04397485237575491,0.05852915787118682
rea,full,Ridge,max_power,0.8658306156780177,52.68289377514214,74.04816297818859,0.038216109203818314,0.05371445036399685
rea,full,Ridge,burst_width,0.5216806138193928,0.040195169239604776,0.10687465336529599,0.021380409170002543,0.056848219875157445
rea,full,Ridge,max_Tf,0.9792942070914084,2.9730101911556734,5.333041256753424,0.009792523686283512,0.01756601204464238
rea,full,Ridge,avg_Tcool,0.9792367965751787,0.07349040411754004,0.10797910749069348,0.01617875096481055,0.02377136322043286
rea,full,KNN,max_power,0.9712048492140438,19.218652045298715,34.30419669760104,0.013941187597782831,0.024884223952089616
rea,full,KNN,burst_width,0.7674279938800066,0.016536114931750744,0.07452370656183913,0.008795805814761035,0.03964026944778677
rea,full,KNN,max_Tf,0.9662840893734531,3.943709078591525,6.805287186592716,0.01298981909944508,0.022415306938711195
rea,full,KNN,avg_Tcool,0.9822629719253904,0.07305282471778525,0.09980056057656701,0.016082418821573984,0.021970874090368447
rea,full,RandomForest,max_power,0.9906863461386306,10.79692194734007,19.50956661585291,0.007832074486374161,0.0141522166852269
rea,full,RandomForest,burst_width,0.8471280558876659,0.011719001506132752,0.060419847104946404,0.006233511439432315,0.032138216545184256
rea,full,RandomForest,max_Tf,0.979488302129019,2.848270087241468,5.307986575980425,0.009381653778792718,0.01748348674565358
rea,full,RandomForest,avg_Tcool,0.9883563336584409,0.05372927866109478,0.08086068758110182,0.01182838262239589,0.0178013026724636
rea,full,GradientBoosting,max_power,0.996067985156861,9.27545067236669,12.676377084134536,0.006728401012342436,0.009195429032879817
rea,full,GradientBoosting,burst_width,0.9847459072356692,0.007808876554338835,0.019085736305135187,0.004153657741669593,0.010151987396348504
rea,full,GradientBoosting,max_Tf,0.9943996436588411,1.9597813871252563,2.7735553744367722,0.00645514290884472,0.00913555788681414
rea,full,GradientBoosting,avg_Tcool,0.9957553171135992,0.03703529267010083,0.048821956470093616,0.008153238292989966,0.010748046426321727
rea,selected,Ridge,max_power,0.8660695702985506,52.646325643956374,73.98219399396633,0.03818958272445028,0.05366659654040351
rea,selected,Ridge,burst_width,0.525016989882374,0.03980891861172606,0.10650126476980788,0.021174956708364924,0.05664960892011058
rea,selected,Ridge,max_Tf,0.9689310152923338,4.340978325917531,6.532697389387055,0.014298347582073559,0.021517448581643797
rea,selected,Ridge,avg_Tcool,0.969501072466628,0.09231102647974296,0.13086841364097726,0.020322069617866527,0.028810393668142198
rea,selected,KNN,max_power,0.9970691034381333,6.842066141061332,10.944295763243348,0.004963226734328,0.00793897927915911
rea,selected,KNN,burst_width,0.9803497423777632,0.005250019088583156,0.021662064860790302,0.0027925633449910406,0.011522374925952289
rea,selected,KNN,max_Tf,0.9809129839519877,3.8893623559194386,5.120330919817513,0.012810811449010012,0.016865385111388388
rea,selected,KNN,avg_Tcool,0.9791143358030109,0.07609304730213295,0.10829706817282335,0.016751717142359984,0.02384136156585702
